CODIGO,DESCRIPCION,LATITUD,LONGITUD,DIRECION,CP,POBLACION,PROVINCIA,PAIS,CERCANIAS,FEVE,COMUN
5165,BIDUEIROS,43.696712,-7.468843,"Camino Monte Galis, S/N",27890,CERVO,LUGO,ESPAÑA,NO,SI,
5167,SAN CIBRAO,43.692319,-7.44177,"Ctra. Lu-P-1510 - Estación Ferrocarril, S/N",27890,CERVO,LUGO,ESPAÑA,NO,SI,
5169,MADEIRO,43.686219,-7.412863,"Ctra. Lu - P -1510 --- Estación Ferrocarril, S/N",27891,CERVO,LUGO,ESPAÑA,NO,SI,
5171,BURELA,43.660607,-7.361183,"C/ Rúa la Estación, S/N",27880,BURELA,LUGO,ESPAÑA,NO,SI,
5173,CANGAS DE FOZ,43.626106,-7.333309,"Camino Alamparte, S/N",27892,FOZ,LUGO,ESPAÑA,NO,SI,
5175,NOIS,43.610309,-7.312222,"Ctra. N-642 - Estación Ferrocarril, S/N",27893,FOZ,LUGO,ESPAÑA,NO,SI,
5177,FAZOURO,43.600457,-7.299843,"Ctra. Xeneral Fazouro, 4",27789,FOZ,LUGO,ESPAÑA,NO,SI,
5179,MARZÁN,43.57475,-7.26936,"Rúa Pena Parda, S/N",27787,FOZ,LUGO,ESPAÑA,NO,SI,
5181,FOZ,43.560886,-7.272235,"Ctra. Xeral Pedreira - Rúa Xoiña, S/N",27788,FOZ,LUGO,ESPAÑA,NO,SI,
5183,BARREIROS,43.547366,-7.225287,"Ctra. Remior, S/N",27792,BARREIROS,LUGO,ESPAÑA,NO,SI,
5185,REINANTE,43.54987,-7.174315,"Ctra. Lu-P-0604 - Estación Ferrocarril, S/N",27794,BARREIROS,LUGO,ESPAÑA,NO,SI,
5187,ESTEIRO,43.551697,-7.146099,"Ctra. Lu - P - 0610 ---- Estación Ferrocarril, S/N",27795,RIBADEO,LUGO,ESPAÑA,NO,SI,
5189,OS CASTROS,43.55157,-7.130895,"Ctra. Lu-P-5208 - Estación Ferrocarril, S/N",27795,RIBADEO,LUGO,ESPAÑA,NO,SI,
5191,RINLO,43.549761,-7.108645,"Ctra. Lu-141 - Estación Ferrocarril, S/N",27797,RIBADEO,LUGO,ESPAÑA,NO,SI,
5193,RIBADEO,43.53607,-7.055572,"Rua Paco Lanza 9, Ribadeo (Lugo)",27700,RIBADEO,LUGO,ESPAÑA,NO,SI,
5195,VEGADEO,43.4731616,-7.050645,,,VEGADEO,ASTURIAS,ESPAÑA,NO,SI,
5197,VEGADEO PUEBLO,43.479667,-7.057327,"Ctra. Cp-52-05 - Estación Ferrocarril, S/N",33770,VEGADEO,ASTURIAS,ESPAÑA,NO,SI,
5199,VILAVEDELLE,43.490502,-7.038353,"Ctra. N-640 - Estación Ferrocarril, S/N",33778,CASTROPOL,ASTURIAS,ESPAÑA,NO,SI,
5201,GIJÓN RAM,43.535175,-5.698318,,,GIJÓN,ASTURIAS,ESPAÑA,SI,NO,GIJON
5203,TREMAÑES CARREÑO,43.5285524,-5.6948835,"Camino de la Iglesia - Estación Ferrocarril, S/N",33211,GIJÓN,ASTURIAS,ESPAÑA,SI,SI,
5204,CENTRO DE TRANSPORTES,43.5311295,-5.7067165,"C/ Isaac Peral, S/N",33211,GIJÓN,ASTURIAS,ESPAÑA,SI,SI,
5207,ABOÑO APEADERO,43.555049,-5.7236039,"Barrio Aboño-Industria, S/N",33492,CARREÑO,ASTURIAS,ESPAÑA,SI,SI,
5208,XIVARES,43.5659387,-5.7287459,"Barrio Xivares 4 - Estación Ferrocarril, S/N",33492,CARREÑO,ASTURIAS,ESPAÑA,SI,SI,
5209,PERLORA,43.5808632,-5.7541047,Poligono Perlora Urbano S/N perlora (Carreño),33491,CARREÑO,ASTURIAS,ESPAÑA,SI,SI,
5210,CANDÁS-APEADERO,43.586538,-5.7679715,"C/ Nuestra Sra de Covadonga, 11",33430,CARREÑO,ASTURIAS,ESPAÑA,SI,SI,
5211,CANDÁS,43.5847107,-5.7726902,"Avda. Fernandez Ladreda, S/N",33430,CARREÑO,ASTURIAS,ESPAÑA,SI,SI,
5213,REGUERAL,43.5805017,-5.797616,Ctra. As 110-Regueral (Carreño),33439,CARREÑO,ASTURIAS,ESPAÑA,SI,SI,
5215,ZANZABORNÍN,43.5689267,-5.825312,"Ctra. Ce-1 - Estación Ferrocarril, S/N",33449,CARREÑO,ASTURIAS,ESPAÑA,SI,SI,
5216,GUDÍN LAMINACIÓN,43.5522931,-5.8653924,"Ctra. As - 19 --- Estación Ferrocarril, S/N",33460,CORVERA DE ASTURIAS,ASTURIAS,ESPAÑA,SI,SI,
5217,TRASONA,43.5517694,-5.8741747,"Ctra. As-19, Estación Ferrocarril, S/N",33468,CORVERA DE ASTURIAS,ASTURIAS,ESPAÑA,SI,SI,
5218,OFICINES,43.551308,-5.877217,"Avenida de Gjon - Estacion Ferrocarril, S/N",33468,OVIEDO,ASTURIAS,ESPAÑA,SI,SI,
5219,LLARANES,43.5543366,-5.8965567,"Pla. Ensidesa, 29",33417,AVILÉS,ASTURIAS,ESPAÑA,SI,SI,
5220,CRISTALERÍA,43.5755676,-5.9292414,"Barrio la Maruca, 110 --- Estación de Ferrocarril, S/N",33401,AVILÉS,ASTURIAS,ESPAÑA,SI,SI,
